ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2638, 2281, 120, 797917
8, 902, 2888, 77, 4073791
16, 584, 2223, 103, 2299177
32, 3062, 2826, 77, 2725740
64, 241, 384, 37, 2500278
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2797, 2373, 111, 787585
8, 719, 310, 66, 5672383
16, 856, 349, 61, 2675318
32, 515, 331, 61, 2722797
64, 382, 319, 38, 2545900
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2392, 2513, 120, 791094
8, 633, 1016, 70, 5406827
16, 421, 351, 73, 2671634
32, 344, 656, 62, 2538242
64, 254, 1242, 58, 2627304
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 3034, 2171, 130, 798026
8, 667, 350, 75, 4317727
16, 519, 315, 59, 2641969
32, 2222, 888, 52, 2876785
64, 237, 394, 77, 2538768
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 4636, 2436, 157, 660497
8, 775, 352, 71, 4840280
16, 402, 220, 65, 2551019
32, 1327, 5047, 87, 2735899
64, 196, 428, 36, 2730983
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 3255, 2374, 138, 798528
8, 838, 430, 71, 6958692
16, 1364, 1574, 63, 2798627
32, 398, 290, 60, 3015226
64, 344, 325, 40, 2645062
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2767, 2525, 114, 751780
8, 681, 316, 69, 3800061
16, 757, 453, 62, 2210952
32, 699, 442, 179, 2473066
64, 246, 284, 45, 2738515
